@relation user

@attribute yelping_since string
@attribute compliments.plain numeric
@attribute compliments.more numeric
@attribute elite numeric
@attribute compliments.cute numeric
@attribute compliments.writer numeric
@attribute fans numeric
@attribute compliments.note numeric
@attribute compliments.hot numeric
@attribute compliments.cool numeric
@attribute compliments.profile numeric
@attribute average_stars numeric
@attribute review_count numeric
@attribute friends numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute compliments.list numeric
@attribute votes.funny numeric
@attribute compliments.photos numeric
@attribute compliments.funny numeric
@attribute votes.useful numeric

@data
2011-01-01,?,?,?,?,?,0,?,?,?,?,4.04,23,?,e4e-IyxRdWBO0Ak88yyacw,13,?,10,?,?,18
2009-05-01,1,?,?,?,?,1,1,?,?,?,3.25,24,?,DVWIxcfkjxri5UruYABkrQ,8,?,9,?,?,17
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,ZYaumz29bl9qHpu-KVtMGA,349,1,510,3,7,634
2013-04-01,?,?,?,?,?,0,?,?,?,?,5,2,?,jQtmbZmOvfYb4lAkoXMCkQ,0,?,0,?,?,1
2012-07-01,?,?,?,?,?,0,?,?,?,?,3.8,5,?,fjGh54rTqVn0ECKroIXwYQ,0,?,0,?,?,1
2009-12-01,?,?,?,?,?,0,?,?,?,?,3.73,12,?,SvS7NXWG2B2kFoaHaWdGfg,1,?,1,?,?,4
2008-02-01,10,?,3,?,4,3,8,6,7,1,3.48,286,4,4Z4Bv3gEMbEmncLDDcrB4w,100,1,179,?,4,307
2011-03-01,12,?,?,1,4,4,4,?,4,?,3.42,33,5,AnW3hjm3lkvx8usob_YjzQ,26,?,64,2,5,87
2013-08-01,2,?,1,?,2,1,1,1,7,?,4,77,3,9SU4T5EvO3UVy7e-26yCjQ,34,?,12,?,?,79
2012-11-01,?,?,?,?,?,0,?,?,?,?,5,2,?,tNxt3gCPObCrB5GDUSnlig,0,?,1,?,?,2
2013-04-01,?,?,?,?,?,0,2,?,?,?,4,5,?,aQZM7L_HPqTsRdFXhQExZw,1,?,0,?,?,4
2013-01-01,?,?,?,?,?,0,?,?,?,?,4,4,?,hvSlzpUUdKq7qO8uvwPqOQ,2,?,2,?,?,9
2013-12-01,?,?,?,?,?,1,?,?,?,?,4,6,?,Veue6umxTpA3o1eEydowZg,0,?,3,?,?,3
2008-07-01,?,?,?,?,?,1,?,?,?,?,2.91,11,1,i3v1qeqEtHws6oGq3eAtXQ,2,?,6,?,?,8
2011-09-01,?,?,?,?,?,0,?,?,?,1,3.32,56,2,XmSPy_RTZArCirAqWsVP6w,12,?,12,?,?,64
2008-04-01,?,?,?,?,?,0,?,?,?,?,3.25,16,?,SqAgrmuR0GtkoJQeGT1S_A,0,?,1,?,?,11
2011-11-01,?,?,?,?,?,0,?,?,?,?,4.15,13,?,Bld8sdbL48rJzVXo4yMYWA,0,?,1,?,?,12
2008-11-01,173,17,6,13,86,58,82,128,169,21,3.4,908,115,2sklUYBnk7LxzM-11yPUPg,1633,10,1813,70,93,2330
2013-04-01,?,?,?,?,?,0,?,?,?,?,3.25,4,?,HPUUg5qQpNr02I30hq4wAw,0,?,2,?,?,3
2012-05-01,1,?,?,?,1,1,?,?,?,?,3.8,15,?,iKBS0S0l_PZ_iEaKw8W9bA,3,?,1,?,?,7
2007-08-01,?,?,?,?,?,1,?,?,?,?,2.95,110,?,bDk2XvjJlK8fsiL6C1HpEg,16,?,136,?,?,120
2007-08-01,16,7,4,2,4,10,15,13,12,1,3.61,431,15,l_vRCjYILaY9PYWevubPwQ,194,11,172,?,2,541
2010-09-01,?,?,?,?,?,0,?,?,?,?,5,3,?,3T2Dr5fnsWDmudQM1Hhy7A,0,?,0,?,?,0
