@relation user

@attribute yelping_since string
@attribute compliments.plain numeric
@attribute compliments.more numeric
@attribute elite numeric
@attribute compliments.cute numeric
@attribute compliments.writer numeric
@attribute fans numeric
@attribute compliments.note numeric
@attribute compliments.hot numeric
@attribute compliments.cool numeric
@attribute compliments.profile numeric
@attribute average_stars numeric
@attribute review_count numeric
@attribute friends numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute compliments.list numeric
@attribute votes.funny numeric
@attribute compliments.photos numeric
@attribute compliments.funny numeric
@attribute votes.useful numeric

@data
2008-04-01,?,?,?,?,?,0,?,?,?,?,3.6,5,4,z4aMa5m5gDI5nQFH9fA4fA,7,?,3,?,?,5
2011-09-01,?,?,3,?,?,0,?,2,1,?,3.71,99,3,FmwWPEQMcxCGI5K1yqAXaA,16,?,9,?,?,57
2009-12-01,6,?,2,1,11,7,28,7,17,?,3.52,321,7,WNCNmynlYmIkz2VeTlfVRw,189,?,195,?,10,370
2007-08-01,3,?,?,?,?,0,1,?,?,?,3.79,44,?,RadW7vAeQ8MUQSrCyLYkRw,9,?,4,?,?,47
2008-08-01,7,1,1,3,5,6,?,5,10,1,3.62,257,38,UbEp2jj8cYC0UWZ1jvUZ3A,91,?,92,?,2,289
2010-06-01,600,30,5,4,224,20,229,324,656,18,4.1,473,165,f_QwW8uaXLQXJXaCYMcCYA,1365,3,1183,122,187,1707
2012-02-01,?,?,?,?,?,1,?,?,?,?,4,11,?,xZQVhq8qAIBVFEYieOi4vA,1,?,1,?,?,1
2012-10-01,?,?,?,?,?,0,?,?,?,?,4.62,8,5,GvubN02IRi0Yy7h_QRe9OA,0,?,3,?,?,3
2011-05-01,?,?,?,?,?,0,?,?,?,?,4.14,7,?,X7FFHxES4OU2MrAgZCvw6w,0,?,0,?,?,2
2009-08-01,2,?,?,?,7,3,?,?,1,?,3.28,85,3,Qtro4APUHh1wEwnVhciPPQ,117,?,254,?,1,830
2011-06-01,?,?,?,1,?,0,2,1,4,?,4.27,39,5,YWBuX2RBbwhYK1jGdZttJA,6,?,2,?,?,51
2010-06-01,11,6,5,1,31,11,13,33,32,1,4.01,304,16,V7pppn-r6tL_Yb2_msQQFw,281,?,182,2,5,536
2012-04-01,?,?,?,?,?,0,?,?,?,?,4.25,4,2,JSeo22e-wQ9Sc3eXsQTovA,1,?,2,?,?,3
2009-02-01,1,1,?,1,4,0,?,2,1,?,3.57,23,2,1IGuHoeMAykWlWU6zFqKzQ,11,?,1,?,?,31
2011-06-01,10,?,1,?,15,4,12,12,13,1,3.83,227,89,7_XwjOebd1temr3CaqGwpg,506,?,261,1,6,709
2007-04-01,699,24,7,18,125,49,206,270,422,7,3.82,1074,195,-wOgMGHvNJHQDfqUgX19Qg,2855,21,1839,22,96,3946
2011-02-01,4,2,1,7,4,7,7,22,16,3,4.24,125,70,QYgcusG-G0bwUOt0b5rT6w,56,?,61,5,3,147
2011-08-01,15,6,?,3,6,17,6,18,13,3,4.34,139,53,qYyF_34ZEVpQPceKnCe8bw,92,?,81,3,17,177
2011-11-01,?,?,?,?,1,0,?,?,?,?,3.77,22,2,qoeSpwTjflaFQOdzsd7gWA,6,?,1,?,?,7
