@relation user

@attribute yelping_since string
@attribute compliments.plain numeric
@attribute compliments.more numeric
@attribute elite numeric
@attribute compliments.cute numeric
@attribute compliments.writer numeric
@attribute fans numeric
@attribute compliments.note numeric
@attribute compliments.hot numeric
@attribute compliments.cool numeric
@attribute compliments.profile numeric
@attribute average_stars numeric
@attribute review_count numeric
@attribute friends numeric
@attribute user_id string
@attribute votes.cool numeric
@attribute compliments.list numeric
@attribute votes.funny numeric
@attribute compliments.photos numeric
@attribute compliments.funny numeric
@attribute votes.useful numeric

@data
2008-09-01,?,?,?,?,?,0,?,?,1,?,3.17,6,2,hJbhbqg-x3TFzhvqqwl5RA,2,?,3,?,?,4
2010-01-01,?,?,?,?,?,0,1,?,?,?,4.2,10,3,UwRmWEzat-BziAVlMaSy1g,4,?,1,?,?,8
2009-05-01,?,?,?,?,?,0,?,?,?,?,3.12,10,?,QIjJ4L2DVKcj985-iuognQ,0,?,1,?,?,9
2010-04-01,3,4,4,?,2,4,2,3,4,?,3.64,108,7,HSCAIz_sFTgC78hXE-86Og,47,?,32,?,?,146
2011-05-01,7,3,2,1,24,11,8,11,16,?,4.15,89,22,uILpE4ihC09BBdNf7LgDHw,136,1,74,5,6,229
2011-01-01,?,?,?,?,?,0,?,?,?,?,4.04,23,?,e4e-IyxRdWBO0Ak88yyacw,13,?,10,?,?,18
2013-07-01,?,?,?,?,?,0,?,?,?,?,5,2,?,Nz7FOxqKOUhCxMLfKiGiTw,0,?,0,?,?,1
2009-05-01,1,?,?,?,?,1,1,?,?,?,3.25,24,?,DVWIxcfkjxri5UruYABkrQ,8,?,9,?,?,17
2010-11-01,?,?,?,?,?,0,?,?,?,?,3,4,?,Bbm6c5CHf5IJG5ju0ozXZQ,1,?,0,?,?,9
2011-07-01,?,?,?,?,?,0,?,?,?,?,3.61,54,3,NjeI7eoeLWndPI0zYFZMHw,9,?,10,?,?,48
2011-01-01,36,2,3,1,55,9,12,12,44,1,3.8,141,13,3AJI55A0sQL5v9R4_z6ueA,256,2,264,3,14,512
2013-06-01,?,?,?,?,?,0,?,?,1,?,3.72,34,1,98NluqGeJC7zrEaNDeNEdw,5,?,0,?,?,15
2008-06-01,12,?,?,3,5,6,21,10,4,?,3.17,129,21,ZYaumz29bl9qHpu-KVtMGA,349,1,510,3,7,634
2013-04-01,?,?,?,?,?,0,?,?,?,?,5,2,?,jQtmbZmOvfYb4lAkoXMCkQ,0,?,0,?,?,1
2009-06-01,?,?,?,?,?,0,?,?,?,?,2.4,5,?,C2pLOzFQnghxzCFgxsyzqA,0,?,3,?,?,3
2012-05-01,1,1,3,?,11,5,6,11,8,?,4.2,78,24,T1Ju5Uin6Ja3iki17ME6fA,44,?,10,?,1,90
2009-01-01,?,?,?,?,?,0,?,1,?,?,3.92,25,?,VsrSccZyUjGLSNtF4keTCA,6,?,1,?,?,14
2009-06-01,?,?,?,?,?,1,?,?,?,?,3.33,3,1,lyb-ZKA0qRNixvlh-cR__Q,0,?,1,?,?,1
